price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,curb-weight,height,width,length,wheel-base,normalized-losses
13495.0,27.0,21.0,5000.0,111.0,9.0,2.68,3.47,130.0,2548.0,48.8,64.1,168.8,88.6,115.0
16500.0,27.0,21.0,5000.0,111.0,9.0,2.68,3.47,130.0,2548.0,48.8,64.1,168.8,88.6,115.0
16500.0,26.0,19.0,5000.0,154.0,9.0,3.47,2.68,152.0,2823.0,52.4,65.5,171.2,94.5,115.0
13950.0,30.0,24.0,5500.0,102.0,10.0,3.4,3.19,109.0,2337.0,54.3,66.2,176.6,99.8,164.0
17450.0,22.0,18.0,5500.0,115.0,8.0,3.4,3.19,136.0,2824.0,54.3,66.4,176.6,99.4,164.0
15250.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2507.0,53.1,66.3,177.3,99.8,115.0
17710.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2844.0,55.7,71.10000000000002,192.7,105.8,158.0
18920.0,25.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2954.0,55.7,71.10000000000002,192.7,105.8,115.0
23875.0,20.0,17.0,5500.0,140.0,8.3,3.4,3.13,131.0,3086.0,55.9,71.10000000000002,192.7,105.8,158.0
12762.781094527363,22.0,16.0,5500.0,160.0,7.399999999999999,3.4,3.13,131.0,3053.0,52.0,67.9,178.2,99.5,115.0
16430.0,29.0,23.0,5800.0,101.0,8.8,2.8,3.5,108.0,2395.0,54.3,64.8,176.8,101.2,191.0
16925.0,29.0,23.0,5800.0,101.0,8.8,2.8,3.5,108.0,2395.0,54.3,64.8,176.8,101.2,191.0
20970.0,28.0,21.0,4250.0,121.0,9.0,3.19,3.31,164.0,2710.0,54.3,64.8,176.8,101.2,188.0
21105.0,28.0,21.0,4250.0,121.0,9.0,3.19,3.31,164.0,2765.0,54.3,64.8,176.8,101.2,188.0
24565.0,25.0,20.0,4250.0,121.0,9.0,3.19,3.31,164.0,3055.0,55.7,66.9,189.0,103.5,115.0
29587.5,22.0,16.0,5400.0,182.0,8.0,3.39,3.62,207.0,3230.0,55.7,66.9,189.0,103.5,115.0
29587.5,22.0,16.0,5400.0,182.0,8.0,3.39,3.62,207.0,3380.0,53.7,67.9,193.8,103.5,115.0
29587.5,20.0,15.0,5400.0,182.0,8.0,3.39,3.62,207.0,3505.0,56.3,70.9,197.0,110.0,115.0
5151.0,47.5,46.5,5100.0,48.0,9.5,3.03,2.91,61.0,1488.0,53.2,60.3,141.10000000000002,88.4,121.0
6295.0,43.0,38.0,5400.0,70.0,9.6,3.11,3.03,90.0,1874.0,52.0,63.6,155.9,94.5,98.0
6575.0,43.0,38.0,5400.0,70.0,9.6,3.11,3.03,90.0,1909.0,52.0,63.6,158.8,94.5,81.0
5572.0,41.0,37.0,5500.0,68.0,9.41,3.23,2.97,90.0,1876.0,50.8,63.8,157.3,93.7,118.0
6377.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1876.0,50.8,63.8,157.3,93.7,118.0
7957.0,30.0,24.0,5500.0,102.0,7.6,3.39,3.03,98.0,2128.0,50.8,63.8,157.3,93.7,118.0
6229.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1967.0,50.6,63.8,157.3,93.7,148.0
6692.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1989.0,50.6,63.8,157.3,93.7,148.0
7609.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1989.0,50.6,63.8,157.3,93.7,148.0
8558.0,30.0,24.0,5500.0,102.0,7.6,3.39,3.03,98.0,2191.0,50.6,63.8,157.3,93.7,148.0
8921.0,30.0,24.0,5000.0,88.0,8.5,3.46,3.34,122.0,2535.0,59.8,64.6,174.6,103.3,110.0
12964.0,24.0,19.0,5000.0,145.0,7.399999999999999,3.8600000000000003,3.6,156.0,2811.0,50.2,66.3,173.2,95.9,145.0
6479.0,47.5,46.5,4800.0,58.0,9.6,3.41,2.91,92.0,1713.0,50.8,63.9,144.6,86.6,137.0
6855.0,38.0,31.0,6000.0,76.0,9.2,3.41,2.91,92.0,1819.0,50.8,63.9,144.6,86.6,137.0
5399.0,42.0,38.0,5500.0,60.0,10.1,3.07,2.91,79.0,1837.0,52.6,64.0,150.0,93.7,101.0
6529.0,34.0,30.0,6000.0,76.0,9.2,3.41,2.91,92.0,1940.0,52.6,64.0,150.0,93.7,101.0
7129.0,34.0,30.0,6000.0,76.0,9.2,3.41,2.91,92.0,1956.0,52.6,64.0,150.0,93.7,101.0
7295.0,34.0,30.0,6000.0,76.0,9.2,3.41,2.91,92.0,2010.0,54.5,64.0,163.4,96.5,110.0
7295.0,34.0,30.0,6000.0,76.0,9.2,3.41,2.92,92.0,2024.0,58.3,63.9,157.1,96.5,78.0
7895.0,33.0,27.0,5800.0,86.0,9.0,3.58,3.15,110.0,2236.0,53.3,65.2,167.5,96.5,106.0
9095.0,33.0,27.0,5800.0,86.0,9.0,3.58,3.15,110.0,2289.0,53.3,65.2,167.5,96.5,106.0
8845.0,33.0,27.0,5800.0,86.0,9.0,3.58,3.15,110.0,2304.0,54.1,65.2,175.4,96.5,85.0
10295.0,33.0,27.0,5800.0,86.0,9.0,3.58,3.15,110.0,2372.0,54.1,62.5,175.4,96.5,85.0
12945.0,28.0,24.0,5800.0,101.0,9.0,3.58,3.15,110.0,2465.0,54.1,65.2,175.4,96.5,85.0
10345.0,31.0,25.0,5500.0,100.0,9.1,3.58,3.15,110.0,2293.0,51.0,66.0,169.1,96.5,107.0
6785.0,29.0,24.0,4800.0,78.0,8.5,3.23,3.31,111.0,2337.0,53.5,61.8,170.7,94.3,115.0
12762.781094527363,43.0,38.0,5400.0,70.0,9.6,3.11,3.03,90.0,1874.0,52.0,63.6,155.9,94.5,115.0
12762.781094527363,43.0,38.0,5400.0,70.0,9.6,3.11,3.03,90.0,1909.0,52.0,63.6,155.9,94.5,115.0
11048.0,29.0,24.0,5000.0,90.0,9.2,3.23,3.43,119.0,2734.0,51.4,65.2,172.6,96.0,115.0
29587.5,19.0,15.0,4750.0,176.0,8.1,3.8600000000000003,3.63,207.0,4066.0,52.8,69.6,199.6,113.0,145.0
29587.5,19.0,15.0,4750.0,176.0,8.1,3.8600000000000003,3.63,207.0,4066.0,52.8,69.6,199.6,113.0,115.0
29587.5,17.0,13.0,5000.0,185.0,10.600000000000001,2.76,3.54,207.0,3950.0,47.8,70.6,191.7,102.0,115.0
5195.0,31.0,30.0,5000.0,68.0,9.0,3.15,3.03,91.0,1890.0,54.1,64.2,159.1,93.1,104.0
6095.0,38.0,31.0,5000.0,68.0,9.0,3.15,3.03,91.0,1900.0,54.1,64.2,159.1,93.1,104.0
6795.0,38.0,31.0,5000.0,68.0,9.0,3.15,3.03,91.0,1905.0,54.1,64.2,159.1,93.1,104.0
6695.0,38.0,31.0,5000.0,68.0,9.0,3.15,3.03,91.0,1945.0,54.1,64.2,166.8,93.1,113.0
7395.0,38.0,31.0,5000.0,68.0,9.0,3.15,3.08,91.0,1950.0,54.1,64.2,166.8,93.1,113.0
10945.0,23.0,17.0,6000.0,101.0,9.4,3.29,3.31,70.0,2380.0,49.6,65.7,169.0,95.3,150.0
11845.0,23.0,17.0,6000.0,101.0,9.4,3.29,3.31,70.0,2380.0,49.6,65.7,169.0,95.3,150.0
13645.0,23.0,17.0,6000.0,101.0,9.4,3.29,3.31,70.0,2385.0,49.6,65.7,169.0,95.3,150.0
15645.0,23.0,16.0,6000.0,135.0,9.4,3.29,3.31,80.0,2500.0,49.6,65.7,169.0,95.3,150.0
8845.0,32.0,26.0,4800.0,84.0,8.6,3.39,3.39,122.0,2385.0,53.7,66.5,177.8,98.8,129.0
8495.0,32.0,26.0,4800.0,84.0,8.6,3.39,3.39,122.0,2410.0,55.5,66.5,177.8,98.8,115.0
10595.0,32.0,26.0,4800.0,84.0,8.6,3.39,3.39,122.0,2385.0,53.7,66.5,177.8,98.8,129.0
10245.0,32.0,26.0,4800.0,84.0,8.6,3.39,3.39,122.0,2410.0,55.5,66.5,177.8,98.8,115.0
10795.0,42.0,36.0,4650.0,64.0,10.600000000000001,3.39,3.39,122.0,2443.0,55.5,66.5,177.8,98.8,115.0
11245.0,32.0,26.0,4800.0,84.0,8.6,3.39,3.39,122.0,2425.0,55.5,66.5,177.8,98.8,115.0
18280.0,27.0,19.0,5000.0,120.0,8.0,3.16,3.76,140.0,2670.0,54.4,66.1,175.0,104.9,118.0
18344.0,39.0,31.0,4200.0,72.0,10.600000000000001,3.64,3.43,134.0,2700.0,54.4,66.1,175.0,104.9,115.0
25552.0,25.0,22.0,4350.0,123.0,10.600000000000001,3.64,3.58,183.0,3515.0,56.5,70.3,190.9,110.0,93.0
28248.0,25.0,22.0,4350.0,123.0,10.600000000000001,3.64,3.58,183.0,3750.0,58.7,70.3,190.9,110.0,93.0
28176.0,25.0,22.0,4350.0,123.0,10.600000000000001,3.64,3.58,183.0,3495.0,54.9,70.3,187.5,106.7,93.0
29587.5,25.0,22.0,4350.0,123.0,10.600000000000001,3.64,3.58,183.0,3770.0,56.3,71.10000000000002,202.6,114.25000000000001,93.0
29587.5,18.0,16.0,4750.0,155.0,8.3,3.1,3.46,207.0,3740.0,56.5,71.10000000000002,202.6,114.25000000000001,115.0
29587.5,18.0,16.0,4750.0,155.0,8.3,3.1,3.46,207.0,3685.0,50.8,70.5,180.3,96.6,142.0
29587.5,16.0,14.0,4500.0,184.0,8.0,3.35,3.8,207.0,3900.0,56.7,71.10000000000002,208.1,114.25000000000001,115.0
29587.5,16.0,14.0,4500.0,184.0,8.0,3.35,3.8,207.0,3715.0,55.4,71.10000000000002,199.2,112.0,115.0
16503.0,24.0,19.0,5000.0,175.0,8.0,3.12,3.78,140.0,2910.0,54.8,68.0,178.4,102.7,115.0
5389.0,41.0,37.0,5500.0,68.0,9.4,3.23,2.97,92.0,1918.0,50.8,64.4,157.3,93.7,161.0
6189.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,92.0,1944.0,50.8,64.4,157.3,93.7,161.0
6669.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,92.0,2004.0,50.8,64.4,157.3,93.7,161.0
7689.0,30.0,24.0,5500.0,102.0,7.6,3.39,3.03,98.0,2145.0,50.8,63.8,157.3,93.0,161.0
9959.0,30.0,23.0,5500.0,116.0,7.5,3.46,3.17,110.0,2370.0,49.4,65.4,173.0,96.3,153.0
8499.0,32.0,25.0,5000.0,88.0,8.5,3.46,3.35,122.0,2328.0,49.4,65.4,173.0,96.3,153.0
12629.0,24.0,19.0,5000.0,145.0,7.399999999999999,3.86,3.58,156.0,2833.0,50.2,66.3,173.2,95.9,115.0
14869.0,24.0,19.0,5000.0,145.0,7.399999999999999,3.86,3.59,156.0,2921.0,50.2,66.3,173.2,95.9,115.0
14489.0,24.0,19.0,5000.0,145.0,7.399999999999999,3.86,3.59,156.0,2926.0,50.2,66.3,173.2,95.9,115.0
6989.0,32.0,25.0,5000.0,88.0,8.5,3.46,3.35,122.0,2365.0,51.6,65.4,172.4,96.3,125.0
8189.0,32.0,25.0,5000.0,88.0,8.5,3.46,3.35,122.0,2405.0,51.6,65.4,172.4,96.3,125.0
9279.0,30.0,23.0,5500.0,116.0,7.5,3.46,3.17,110.0,2403.0,51.6,65.4,172.4,96.3,125.0
9279.0,30.0,23.0,5500.0,116.0,7.5,3.46,3.17,110.0,2403.0,51.6,65.4,172.4,96.3,137.0
5499.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,1889.0,54.5,63.8,165.3,94.5,128.0
7099.0,47.5,45.0,4800.0,55.0,10.600000000000001,3.47,2.99,103.0,2017.0,54.5,63.8,165.3,94.5,128.0
6649.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,1918.0,54.5,63.8,165.3,94.5,128.0
6849.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,1938.0,54.5,63.8,165.3,94.5,122.0
7349.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,2024.0,53.5,63.8,170.2,94.5,103.0
7299.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,1951.0,54.5,63.8,165.3,94.5,128.0
7799.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,2028.0,53.3,63.8,165.6,94.5,128.0
7499.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,1971.0,54.5,63.8,165.3,94.5,122.0
7999.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,2037.0,53.5,63.8,170.2,94.5,103.0
8249.0,37.0,31.0,5200.0,69.0,9.4,3.29,3.15,97.0,2008.0,53.3,63.8,162.4,95.1,168.0
8949.0,34.0,27.0,5200.0,97.0,8.5,3.47,3.33,120.0,2324.0,54.7,65.2,173.4,97.2,106.0
9549.0,34.0,27.0,5200.0,97.0,8.5,3.47,3.33,120.0,2302.0,54.7,65.2,173.4,97.2,106.0
13499.0,22.0,17.0,5200.0,152.0,9.0,3.27,3.43,181.0,3095.0,55.1,66.5,181.7,100.4,128.0
14399.0,22.0,17.0,5200.0,152.0,9.0,3.27,3.43,181.0,3296.0,56.1,66.5,184.6,100.4,108.0
13499.0,25.0,19.0,5200.0,152.0,9.0,3.27,3.43,181.0,3060.0,55.1,66.5,184.6,100.4,108.0
17199.0,25.0,19.0,5200.0,160.0,9.0,3.27,3.43,181.0,3071.0,49.7,67.9,170.7,91.3,191.0
19699.0,23.0,17.0,5200.0,185.0,7.8,3.27,3.43,181.0,3139.0,49.7,67.9,170.7,91.3,191.0
18399.0,25.0,19.0,5200.0,160.0,9.0,3.27,3.43,181.0,3139.0,49.7,67.9,178.5,99.2,191.0
11900.0,24.0,19.0,5000.0,97.0,8.4,3.19,3.46,120.0,3020.0,56.7,68.4,186.7,107.9,161.0
13200.0,33.0,28.0,4150.0,95.0,10.600000000000001,3.52,3.7,152.0,3197.0,56.7,68.4,186.7,107.9,161.0
12440.0,24.0,19.0,5000.0,97.0,8.4,3.19,3.46,120.0,3230.0,58.7,68.4,198.9,114.2,115.0
13860.0,25.0,25.0,4150.0,95.0,10.600000000000001,3.52,3.7,152.0,3430.0,58.7,68.4,198.9,114.2,115.0
15580.0,24.0,19.0,5000.0,95.0,8.4,2.6599999999999993,3.46,120.0,3075.0,56.7,68.4,186.7,107.9,161.0
16900.0,33.0,28.0,4150.0,95.0,10.600000000000001,3.52,3.7,152.0,3252.0,56.7,68.4,186.7,107.9,161.0
16695.0,24.0,19.0,5000.0,95.0,8.4,2.6599999999999993,3.46,120.0,3285.0,56.7,68.4,198.9,114.2,115.0
17075.0,25.0,25.0,4150.0,95.0,10.600000000000001,3.52,3.7,152.0,3485.0,58.7,68.4,198.9,114.2,115.0
16630.0,24.0,19.0,5000.0,97.0,8.4,3.19,3.46,120.0,3075.0,56.7,68.4,186.7,107.9,161.0
17950.0,33.0,28.0,4150.0,95.0,10.600000000000001,3.52,3.7,152.0,3252.0,56.7,68.4,186.7,107.9,161.0
18150.0,24.0,18.0,5600.0,142.0,7.399999999999999,3.21,3.61,134.0,3130.0,56.0,68.3,186.7,108.0,161.0
5572.0,41.0,37.0,5500.0,68.0,9.4,3.23,2.97,90.0,1918.0,50.8,63.8,157.3,93.7,119.0
7957.0,30.0,24.0,5500.0,102.0,7.6,3.39,3.03,98.0,2128.0,50.8,63.8,157.3,93.7,119.0
6229.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1967.0,50.6,63.8,157.3,93.7,154.0
6692.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,90.0,1989.0,50.8,63.8,167.3,93.7,154.0
7609.0,38.0,31.0,5500.0,68.0,9.4,3.23,2.97,98.0,2191.0,50.8,63.8,167.3,93.7,154.0
8921.0,30.0,24.0,5000.0,88.0,8.5,3.46,3.35,122.0,2535.0,59.8,64.6,174.6,103.3,74.0
12764.0,24.0,19.0,5000.0,145.0,7.399999999999999,3.86,3.59,156.0,2818.0,50.2,66.3,173.2,95.9,115.0
22018.0,27.0,19.0,5500.0,143.0,9.5,3.11,3.94,151.0,2778.0,50.2,68.3,168.9,94.5,186.0
29587.5,25.0,17.0,5900.0,185.0,9.5,2.9,3.74,194.0,2756.0,51.6,65.0,168.9,89.5,115.0
29587.5,25.0,17.0,5900.0,185.0,9.5,2.9,3.74,194.0,2756.0,51.6,65.0,168.9,89.5,115.0
29587.5,25.0,17.0,5900.0,185.0,9.5,2.9,3.74,194.0,2800.0,51.6,65.0,168.9,89.5,115.0
12762.781094527363,28.0,17.0,5750.0,185.0,10.0,3.11,3.94,203.0,3366.0,50.5,71.10000000000002,175.7,98.4,115.0
9295.0,31.0,23.0,5200.0,95.0,8.7,3.8600000000000003,3.46,132.0,2579.0,55.2,66.5,181.5,96.1,115.0
9895.0,31.0,23.0,5200.0,95.0,8.7,3.8600000000000003,3.46,132.0,2460.0,50.5,66.6,176.8,96.1,115.0
11850.0,28.0,21.0,5250.0,110.0,9.31,3.07,3.54,121.0,2658.0,56.1,66.5,186.6,99.1,150.0
12170.0,28.0,21.0,5250.0,110.0,9.3,3.07,3.54,121.0,2695.0,56.1,66.5,186.6,99.1,104.0
15040.0,28.0,21.0,5250.0,110.0,9.3,2.6599999999999993,2.54,121.0,2707.0,56.1,66.5,186.6,99.1,150.0
15510.0,28.0,21.0,5250.0,110.0,9.3,3.07,3.54,121.0,2758.0,56.1,66.5,186.6,99.1,104.0
18150.0,26.0,19.0,5500.0,160.0,9.0,3.07,3.54,121.0,2808.0,56.1,66.5,186.6,99.1,150.0
18620.0,26.0,19.0,5500.0,160.0,9.0,3.07,3.54,121.0,2847.0,56.1,66.5,186.6,99.1,104.0
5118.0,36.0,31.0,4900.0,69.0,9.0,2.6599999999999993,3.62,97.0,2050.0,53.7,63.4,156.9,93.7,83.0
7053.0,31.0,26.0,4400.0,73.0,8.7,2.6599999999999993,3.62,108.0,2120.0,53.7,63.6,157.9,93.7,83.0
7603.0,31.0,26.0,4400.0,73.0,8.7,2.6599999999999993,3.62,108.0,2240.0,55.7,63.8,157.3,93.3,83.0
7126.0,37.0,32.0,4800.0,82.0,9.5,2.6599999999999993,3.62,108.0,2145.0,52.5,65.4,172.0,97.2,102.0
7775.0,33.0,28.0,4400.0,82.0,9.5,2.6599999999999993,3.62,108.0,2190.0,52.5,65.4,172.0,97.2,102.0
9960.0,32.0,26.0,5200.0,94.0,9.0,2.6599999999999993,3.62,108.0,2340.0,52.5,65.4,172.0,97.2,102.0
9233.0,25.0,24.0,4800.0,82.0,9.0,2.6599999999999993,3.62,108.0,2385.0,54.3,65.4,172.0,97.0,102.0
11259.0,29.0,24.0,4800.0,111.0,7.7,2.6599999999999993,3.62,108.0,2510.0,54.3,65.4,172.0,97.0,102.0
7463.0,32.0,28.0,4800.0,82.0,9.0,2.6599999999999993,3.62,108.0,2290.0,53.0,65.4,173.5,97.0,89.0
10198.0,31.0,25.0,5200.0,94.0,9.0,2.6599999999999993,3.62,108.0,2455.0,53.0,65.4,173.5,97.0,89.0
8013.0,29.0,23.0,4800.0,82.0,9.0,2.6599999999999993,3.62,108.0,2420.0,54.9,65.4,173.6,96.9,85.0
11694.0,23.0,23.0,4800.0,111.0,7.7,2.6599999999999993,3.62,108.0,2650.0,54.9,65.4,173.6,96.9,85.0
5348.0,39.0,35.0,4800.0,62.0,9.0,3.03,3.05,92.0,1985.0,54.5,63.6,158.7,95.7,87.0
6338.0,38.0,31.0,4800.0,62.0,9.0,3.03,3.05,92.0,2040.0,54.5,63.6,158.7,95.7,87.0
6488.0,38.0,31.0,4800.0,62.0,9.0,3.03,3.05,92.0,2015.0,54.5,63.6,158.7,95.7,74.0
6918.0,37.0,31.0,4800.0,62.0,9.0,3.03,3.05,92.0,2280.0,59.1,63.6,169.7,95.7,77.0
7898.0,32.0,27.0,4800.0,62.0,9.0,3.03,3.05,92.0,2290.0,59.1,63.6,169.7,95.7,81.0
8778.0,32.0,27.0,4800.0,62.0,9.0,3.03,3.05,92.0,3110.0,59.1,63.6,169.7,95.7,91.0
6938.0,37.0,30.0,4800.0,70.0,9.0,3.03,3.19,98.0,2081.0,53.0,64.4,166.3,95.7,91.0
7198.0,37.0,30.0,4800.0,70.0,9.0,3.03,3.19,98.0,2109.0,52.8,64.4,166.3,95.7,91.0
7898.0,36.0,34.0,4500.0,56.0,10.600000000000001,3.35,3.27,110.0,2275.0,53.0,64.4,166.3,95.7,91.0
7788.0,47.0,38.0,4500.0,56.0,10.600000000000001,3.35,3.27,110.0,2275.0,52.8,64.4,166.3,95.7,91.0
7738.0,47.0,38.0,4800.0,70.0,9.0,3.03,3.19,98.0,2094.0,53.0,64.4,166.3,95.7,91.0
8358.0,34.0,28.0,4800.0,70.0,9.0,3.03,3.19,98.0,2122.0,52.8,64.4,166.3,95.7,91.0
9258.0,34.0,28.0,4800.0,70.0,9.0,3.03,3.19,98.0,2140.0,52.8,64.4,166.3,95.7,91.0
8058.0,34.0,29.0,4800.0,70.0,9.0,3.03,3.19,98.0,2169.0,52.6,64.0,168.7,94.5,168.0
8238.0,34.0,29.0,4800.0,70.0,9.0,3.03,3.19,98.0,2204.0,52.6,64.0,168.7,94.5,168.0
9298.0,29.0,26.0,6550.0,112.0,9.4,3.08,3.24,98.0,2265.0,52.6,64.0,168.7,94.5,168.0
9538.0,29.0,26.0,6550.0,112.0,9.4,3.08,3.24,98.0,2300.0,52.6,64.0,168.7,94.5,168.0
8449.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2540.0,52.0,65.6,176.2,98.4,134.0
9639.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2536.0,52.0,65.6,176.2,98.4,134.0
9989.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2551.0,52.0,65.6,176.2,98.4,134.0
11199.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2679.0,52.0,65.6,176.2,98.4,134.0
11549.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2714.0,52.0,65.6,176.2,98.4,134.0
17669.0,30.0,24.0,4800.0,116.0,9.3,3.5,3.62,146.0,2975.0,53.0,65.6,176.2,98.4,134.0
8948.0,34.0,29.0,4200.0,92.0,8.7,3.54,3.31,122.0,2326.0,54.9,66.5,175.6,102.4,65.0
10698.0,33.0,30.0,4500.0,73.0,10.600000000000001,3.35,3.27,110.0,2480.0,54.9,66.5,175.6,102.4,65.0
9988.0,32.0,27.0,4200.0,92.0,8.7,3.54,3.31,122.0,2414.0,53.9,66.5,175.6,102.4,65.0
10898.0,32.0,27.0,4200.0,92.0,8.7,3.54,3.31,122.0,2414.0,54.9,66.5,175.6,102.4,65.0
11248.0,32.0,27.0,4200.0,92.0,8.7,3.54,3.31,122.0,2458.0,53.9,66.5,175.6,102.4,65.0
16558.0,24.0,20.0,5200.0,161.0,9.3,3.35,3.27,171.0,2976.0,52.0,67.7,183.5,102.9,191.0
15998.0,24.0,19.0,5200.0,161.0,9.3,3.35,3.27,171.0,3016.0,52.0,67.7,183.5,102.9,191.0
15690.0,24.0,20.0,5200.0,156.0,9.2,3.35,3.27,171.0,3131.0,54.1,66.5,187.8,104.5,90.0
15750.0,24.0,19.0,5200.0,156.0,9.2,3.35,3.27,161.0,3151.0,54.1,66.5,187.8,104.5,115.0
7775.0,46.0,37.0,4800.0,52.0,10.600000000000001,3.4,3.01,97.0,2261.0,55.7,65.5,171.7,97.3,122.0
7975.0,34.0,27.0,5250.0,85.0,9.0,3.4,3.19,109.0,2209.0,55.7,65.5,171.7,97.3,122.0
7995.0,46.0,37.0,4800.0,52.0,10.600000000000001,3.4,3.01,97.0,2264.0,55.7,65.5,171.7,97.3,94.0
8195.0,34.0,27.0,5250.0,85.0,9.0,3.4,3.19,109.0,2212.0,55.7,65.5,171.7,97.3,94.0
8495.0,34.0,27.0,5250.0,85.0,9.0,3.4,3.19,109.0,2275.0,55.7,65.5,171.7,97.3,94.0
9495.0,42.0,37.0,4500.0,68.0,10.600000000000001,3.4,3.01,97.0,2319.0,55.7,65.5,171.7,97.3,94.0
9995.0,32.0,26.0,5500.0,100.0,10.0,3.4,3.19,109.0,2300.0,55.7,65.5,171.7,97.3,94.0
11595.0,29.0,24.0,5500.0,90.0,8.5,3.4,3.19,109.0,2254.0,55.6,64.2,159.3,94.5,115.0
9980.0,29.0,24.0,5500.0,90.0,8.5,3.4,3.19,109.0,2221.0,51.4,64.0,165.7,94.5,191.0
13295.0,24.0,19.0,5500.0,110.0,8.5,3.4,3.19,136.0,2661.0,55.1,66.9,180.2,100.4,115.0
13845.0,38.0,33.0,4500.0,68.0,10.600000000000001,3.4,3.01,97.0,2579.0,55.1,66.9,180.2,100.4,115.0
12290.0,31.0,25.0,5500.0,88.0,9.0,3.4,3.19,109.0,2563.0,55.1,66.9,183.1,100.4,115.0
12940.0,28.0,23.0,5400.0,114.0,9.5,3.15,3.78,141.0,2912.0,56.2,67.2,188.8,104.3,103.0
13415.0,28.0,23.0,5400.0,114.0,9.5,3.15,3.78,141.0,3034.0,57.5,67.2,188.8,104.3,74.0
15985.0,28.0,24.0,5400.0,114.0,9.5,3.15,3.78,141.0,2935.0,56.2,67.2,188.8,104.3,103.0
16515.0,28.0,24.0,5400.0,114.0,9.5,3.15,3.78,141.0,3042.0,57.5,67.2,188.8,104.3,74.0
18420.0,22.0,17.0,5100.0,162.0,7.5,3.15,3.62,130.0,3045.0,56.2,67.2,188.8,104.3,103.0
18950.0,22.0,17.0,5100.0,162.0,7.5,3.15,3.62,130.0,3157.0,57.5,67.2,188.8,104.3,74.0
16845.0,28.0,23.0,5400.0,114.0,9.5,3.15,3.78,141.0,2952.0,55.5,68.9,188.8,109.1,95.0
19045.0,25.0,19.0,5300.0,160.0,8.7,3.15,3.78,141.0,3049.0,55.5,68.8,188.8,109.1,95.0
21485.0,23.0,18.0,5500.0,134.0,8.8,2.87,3.58,173.0,3012.0,55.5,68.9,188.8,109.1,95.0
22470.0,27.0,26.0,4800.0,106.0,10.600000000000001,3.4,3.01,145.0,3217.0,55.5,68.9,188.8,109.1,95.0
22625.0,25.0,19.0,5400.0,114.0,9.5,3.15,3.78,141.0,3062.0,55.5,68.9,188.8,109.1,95.0
